episode,step,node,value,is_breaker
0,0,X1,4.9077,0
0,1,X2,-3.7815,0
0,3,X2,-1.3300,0
0,4,X2,1.5000,0
0,5,X2,1.5000,0
0,6,X2,1.5000,0
0,7,X2,1.5000,0
0,8,X2,1.5000,0
0,9,X2,1.5000,0
0,10,X2,1.5000,0
0,11,X1,-1.1158,0
0,12,X1,-1.7530,0
0,13,X2,1.5000,0
0,14,X1,-3.1779,0
0,15,X2,1.5000,0
0,16,X2,1.5000,0
1,0,X1,-2.1129,0
1,1,X2,1.5000,0
1,2,X2,1.5000,0
1,3,X2,1.5000,0
1,4,X1,-0.3261,0
1,5,X2,1.5000,0
1,6,X2,1.5000,0
1,7,X1,-1.4353,0
1,8,X2,1.5000,0
1,9,X2,1.5000,0
1,10,X1,-0.6434,0
1,11,X2,1.5000,0
1,12,X2,1.5000,0
1,13,X2,1.5000,0
1,14,X1,4.1263,0
1,15,X2,1.5000,0
1,16,X2,1.5000,0
1,17,X1,1.6875,0
1,18,X2,1.5000,0
1,19,X2,1.5000,0
1,20,X1,-0.3867,0
1,21,X2,1.5000,0
